GEOID20,District
130730303111017,12
130730303111018,12
130730303111019,12
130730303111020,12
130730303113010,12
130730303113011,12
130730303113012,12
130730303113013,12
130730303114003,12
130730303114004,12
130730303114005,12
130730303114006,12
130730303114007,12
130730303114008,12
130730303114009,12
130730303114010,12
130730303114011,12
130730303114013,12
130730303114014,12
130730303114015,12
130730303114016,12
130730303101000,12
130730303101001,12
130730303101002,12
130730303101003,12
130730303101004,12
130730303101005,12
130730303101006,12
130730303101011,12
130730303101012,12
130730303101013,12
130730303102000,12
130730303102001,12
130730303102002,12
130730303102003,12
130730303102004,12
130730303102005,12
130730303102006,12
130730303102007,12
130730303102008,12
130730303102009,12
130730301071011,12
130730301071012,12
130730301071013,12
130730301071014,12
130730301071015,12
130730301071016,12
130730301071018,12
130730301072000,12
130730301072001,12
130730301072002,12
130730301072003,12
130730301072004,12
130730301072005,12
130730301072006,12
130730301072007,12
130730301072008,12
130730301072009,12
130730301072013,12
130730301071000,12
130730301071001,12
130730301071002,12
130730301071003,12
130730301071004,12
130730301071005,12
130730301071006,12
130730301071007,12
130730301071008,12
130730301071009,12
130730301071010,12
130730301071017,12
130730301072010,12
130730301072011,12
130730301072012,12
130730301072014,12
130730301072015,12
130730301081000,12
130730301081001,12
130730301081002,12
130730301081003,12
130730301081004,12
130730301081005,12
130730301081006,12
130730301081007,12
130730301081008,12
130730301082000,12
130730301082001,12
130730301082002,12
130730301082003,12
130730301082004,12
130730301082005,12
130730301082006,12
130730301082007,12
130730301082008,12
130730301082009,12
130730301082010,12
130730301082011,12
130730301082012,12
130730301084006,12
130730301084007,12
130730301084008,12
130730301084009,12
130730304011000,10
130730304011001,10
130730304011003,10
130730304011004,10
130730304011005,10
130730304011006,10
130730304011007,10
130730304011008,10
130730304011009,10
130730304011010,10
130730304011011,10
130730304011012,10
130730304032012,10
130730304041000,10
130730304041001,10
130730304041002,10
130730304041003,10
130730304041004,10
130730304041005,10
130730304041006,10
130730304041007,10
130730304041008,10
130730304041009,10
130730304041010,10
130730304041011,10
130730304041012,10
131819702001001,10
131819702001004,10
131819702001016,10
